race,gender,number,percentage,
black,Male,829,2.521596301,
black,Female,730,2.220464777,
black,Total,1559,4.742205323,
Hispanic,Male,793,2.412093929,
Hispanic,Female,584,1.776371821,
Hispanic,Total,1377,4.188593156,
Asian,Male,460,1.399196983,
Asian,Female,466,1.417447378,
Asian,Total,926,2.816730038,
Native American,Male,82,0.249422071,
Native American,Female,36,0.109502373,
Native American,Total,118,0.358935361,
multi-racial,Male,91,0.276797664,
multi-racial,Female,94,0.285922862,
multi-racial,Total,185,0.562737643, 
white,Male,18406,55.9861297,
white,Female,10305,31.34505414,
white,Total,28711,87.3338403,
Total,Male,20662,62.85019011,
Total,Female,12213,37.14980989,
Total,Total,32875,100,
